iter	F1	CrossEntropy
0	0.9687431144	0.6511948444
1	0.9687569104	0.6086906233
2	0.9693050254	0.5716317733
3	0.9715061058	0.5353685852
4	0.9703918357	0.5038854959
5	0.969819167	0.4781010105
6	0.970384373	0.4514286883
7	0.9702221522	0.4274277543
8	0.971320278	0.4039830392
9	0.9720423314	0.3855918632
10	0.9729900689	0.3662527495
11	0.97327049	0.3482391468
12	0.97327049	0.3327887256
13	0.9731626363	0.3190785617
14	0.9732941437	0.3052257263
15	0.9733522997	0.2944193267
16	0.9736151926	0.2842299647
17	0.9733590368	0.2744937766
18	0.9733830688	0.265584349
19	0.9736584132	0.2567519048
20	0.9734429339	0.24985826
21	0.9734155208	0.2433348323
22	0.9738739879	0.2359878
23	0.9738448401	0.2298505596
24	0.9735386172	0.2250205329
25	0.9735627095	0.2197623449
26	0.9737166714	0.2145362457
27	0.9737491302	0.2105975321
28	0.9738415309	0.2068706011
29	0.9739696998	0.2024751139
30	0.9740604834	0.1982779615
31	0.9741821173	0.1948112201
32	0.9743054237	0.1915751859
33	0.9743054237	0.1883578198
34	0.9742697091	0.1855601748
35	0.9742388759	0.1829303953
36	0.9742989175	0.1809952288
37	0.9743330063	0.178839602
38	0.9743622207	0.1763025838
39	0.9746106116	0.1743313612
40	0.9745797588	0.1728021113
41	0.9746398607	0.1708568713
42	0.974609004	0.1689508045
43	0.9746382548	0.1675204468
44	0.974664302	0.1660145989
45	0.9746691153	0.1644309965
46	0.9749453612	0.1632260176
47	0.9750071272	0.1618494812
48	0.9751924722	0.1604055074
49	0.9752867372	0.15897619
50	0.9753176389	0.1581194172
51	0.9753176389	0.1568615957
52	0.9754428214	0.1558371811
53	0.9754706218	0.154751302
54	0.9755030898	0.1540225058
55	0.9755015371	0.1531638598
56	0.9756870701	0.1522962351
57	0.9756236726	0.1514956638
58	0.9757179991	0.1507607825
59	0.9757473924	0.1499433535
60	0.9757133798	0.1494545924
61	0.9757102993	0.1487211653
62	0.9757721824	0.1480934625
63	0.9758665525	0.1475173632
64	0.9759269244	0.1467875071
65	0.9761126796	0.146109583
66	0.9761746137	0.1455208359
67	0.9761746137	0.1449595707
68	0.9762365557	0.1444539887
69	0.9761700777	0.1440897478
70	0.9762615043	0.1436289867
71	0.9762320312	0.1430948583
72	0.9763264788	0.1425559541
73	0.9762939926	0.1420703178
74	0.9763219704	0.1418219243
75	0.9764164418	0.1412643346
76	0.9765419166	0.1407691841
77	0.9766703698	0.1403790015
78	0.9767308974	0.1398351106
79	0.9769184367	0.1394130744
80	0.976915505	0.1389351142
81	0.9770071138	0.1385567493
82	0.9770706301	0.1381528201
83	0.977101661	0.1377009205
84	0.9772258044	0.1372932212
85	0.9771622781	0.1368506157
86	0.9771947656	0.136413423
87	0.9772554003	0.1361221395
88	0.9772554003	0.1358279773
89	0.9773174916	0.1355676349
90	0.9772525098	0.1352433914
91	0.9772525098	0.1349117966
92	0.9772835584	0.1346748352
93	0.9772821148	0.1342918914
94	0.977375278	0.1339402366
95	0.9773738401	0.1336826835
96	0.9774388306	0.1333248281
97	0.9773738401	0.1331417648
