iter	Passed	Remaining
0	76	122582
1	91	73160
2	105	56131
3	119	47858
4	134	42773
5	148	39419
6	164	37387
7	177	35357
8	192	33958
9	207	32957
10	221	32020
11	236	31250
12	250	30600
13	274	31078
14	288	30476
15	302	29950
16	317	29597
17	332	29239
18	346	28834
19	359	28439
20	374	28149
21	389	27920
22	402	27628
23	416	27345
24	430	27112
25	446	27025
26	460	26823
27	476	26737
28	489	26511
29	503	26344
30	517	26177
31	530	26017
32	544	25835
33	558	25733
34	572	25595
35	589	25598
36	602	25471
37	616	25355
38	630	25224
39	644	25120
40	657	24997
41	674	25027
42	691	25051
43	707	25007
44	723	24997
45	740	25026
46	757	25040
47	771	24933
48	784	24829
49	798	24744
50	812	24662
51	826	24598
52	839	24512
53	853	24438
54	867	24366
55	880	24287
56	895	24254
57	910	24194
58	923	24130
59	937	24060
60	952	24033
61	965	23962
62	979	23887
63	992	23831
64	1006	23761
65	1019	23695
66	1032	23624
67	1052	23715
68	1066	23665
69	1080	23610
70	1094	23563
71	1109	23537
72	1123	23495
73	1136	23441
74	1150	23387
75	1163	23338
76	1178	23301
77	1192	23276
78	1206	23227
79	1219	23178
80	1233	23131
81	1256	23252
82	1270	23213
83	1283	23166
84	1297	23130
85	1312	23107
86	1326	23067
87	1340	23029
88	1354	22993
89	1368	22952
90	1381	22912
91	1396	22883
92	1409	22839
93	1423	22799
94	1438	22783
95	1454	22786
96	1468	22751
97	1482	22714
98	1496	22685
99	1511	22665
100	1524	22626
101	1539	22608
102	1553	22578
103	1567	22544
104	1580	22505
105	1594	22466
106	1607	22428
107	1621	22398
108	1634	22355
109	1647	22318
110	1661	22284
111	1674	22251
112	1688	22220
113	1702	22189
114	1715	22156
115	1729	22123
116	1742	22087
117	1756	22061
118	1772	22057
119	1786	22036
120	1810	22127
121	1823	22095
122	1838	22072
123	1855	22083
124	1873	22105
125	1888	22090
126	1902	22061
127	1916	22037
128	1931	22027
129	1946	22015
130	1963	22018
131	1977	21987
132	1990	21957
133	2004	21924
134	2017	21893
135	2030	21862
136	2044	21831
137	2058	21804
138	2071	21776
139	2085	21745
140	2098	21717
141	2112	21688
142	2125	21657
143	2138	21626
144	2152	21595
145	2165	21566
146	2178	21536
147	2192	21509
148	2206	21483
149	2219	21455
150	2243	21525
151	2256	21496
152	2270	21468
153	2283	21443
154	2300	21444
155	2315	21431
156	2330	21415
157	2344	21393
158	2359	21382
159	2373	21361
160	2388	21346
161	2403	21331
162	2416	21308
163	2433	21309
164	2447	21288
165	2461	21259
166	2474	21236
167	2488	21215
168	2502	21189
169	2516	21166
170	2530	21147
171	2544	21125
172	2557	21098
173	2571	21073
174	2584	21049
175	2598	21027
176	2612	21001
177	2625	20976
178	2639	20955
179	2653	20929
180	2666	20906
181	2680	20880
182	2693	20854
183	2708	20839
184	2725	20843
185	2739	20828
186	2753	20804
187	2766	20779
188	2781	20766
189	2796	20751
190	2810	20735
191	2825	20718
192	2839	20698
193	2865	20765
194	2886	20797
195	2900	20776
196	2913	20751
197	2931	20757
198	2945	20739
199	2959	20716
200	2973	20694
201	2986	20670
202	3000	20647
203	3013	20623
204	3027	20598
205	3040	20576
206	3054	20557
207	3068	20534
208	3081	20509
209	3095	20487
210	3108	20462
211	3126	20472
212	3140	20451
213	3155	20435
214	3168	20413
215	3186	20417
216	3200	20399
217	3219	20410
218	3238	20420
219	3252	20400
220	3266	20380
221	3280	20362
222	3295	20350
223	3310	20336
224	3324	20316
225	3338	20297
226	3352	20276
227	3366	20255
228	3379	20233
229	3393	20211
230	3406	20190
231	3421	20173
232	3435	20153
233	3449	20136
234	3463	20117
235	3477	20099
236	3491	20078
237	3504	20056
238	3520	20048
239	3535	20032
240	3548	20009
241	3561	19987
242	3575	19968
243	3589	19949
244	3604	19933
245	3618	19917
246	3632	19896
247	3646	19877
248	3659	19854
249	3672	19832
250	3686	19813
251	3699	19790
252	3713	19772
253	3727	19750
254	3740	19728
255	3753	19705
256	3766	19683
257	3780	19664
258	3794	19644
259	3807	19624
260	3821	19606
261	3835	19586
262	3848	19564
263	3862	19544
264	3875	19523
265	3891	19514
266	3920	19575
267	3942	19595
268	3957	19583
269	3972	19567
270	3986	19547
271	4000	19530
272	4015	19516
273	4028	19495
274	4042	19477
275	4056	19459
276	4069	19437
277	4083	19418
278	4096	19395
279	4109	19373
280	4122	19351
281	4136	19330
282	4149	19310
283	4162	19289
284	4176	19271
285	4189	19250
286	4208	19251
287	4226	19253
288	4239	19234
289	4253	19214
290	4267	19194
291	4281	19178
292	4295	19160
293	4309	19143
294	4323	19123
295	4336	19104
296	4349	19083
297	4367	19080
298	4381	19064
299	4394	19044
300	4409	19028
301	4424	19015
302	4438	18998
303	4452	18982
304	4467	18967
305	4481	18950
306	4494	18929
307	4509	18914
308	4522	18893
309	4535	18875
310	4549	18857
311	4563	18840
312	4577	18820
313	4590	18801
314	4604	18781
315	4617	18762
316	4631	18743
317	4644	18723
318	4657	18704
319	4671	18684
320	4684	18666
321	4698	18647
322	4711	18626
323	4724	18607
324	4737	18586
325	4750	18565
326	4764	18547
327	4780	18540
328	4797	18535
329	4811	18517
330	4826	18503
331	4839	18483
332	4853	18465
333	4867	18448
334	4881	18432
335	4894	18414
336	4911	18407
337	4929	18406
338	4943	18389
339	4956	18368
340	4970	18352
341	4989	18353
342	5011	18365
343	5025	18349
344	5039	18330
345	5052	18311
346	5066	18294
347	5080	18277
348	5093	18259
349	5107	18241
350	5121	18223
351	5134	18204
352	5147	18185
353	5160	18165
354	5174	18146
355	5189	18135
356	5212	18149
357	5226	18132
358	5240	18114
359	5254	18099
360	5269	18086
361	5284	18072
362	5299	18057
363	5313	18043
364	5327	18026
365	5341	18008
366	5354	17989
367	5367	17971
368	5381	17952
369	5395	17934
370	5411	17926
371	5425	17909
372	5438	17891
373	5452	17872
374	5465	17854
375	5478	17835
376	5492	17816
377	5505	17797
378	5518	17779
379	5531	17759
380	5545	17741
381	5558	17724
382	5572	17707
383	5586	17689
384	5599	17669
385	5612	17650
386	5627	17637
387	5643	17629
388	5657	17612
389	5671	17597
390	5686	17581
391	5699	17563
392	5712	17545
393	5726	17528
394	5739	17509
395	5753	17491
396	5767	17476
397	5780	17458
398	5794	17442
399	5807	17423
400	5821	17405
401	5834	17388
402	5847	17369
403	5861	17351
404	5874	17332
405	5887	17315
406	5904	17305
407	5917	17287
408	5930	17269
409	5943	17250
410	5957	17233
411	5970	17216
412	5985	17201
413	5998	17185
414	6011	17166
415	6036	17181
416	6050	17163
417	6069	17162
418	6084	17151
419	6099	17137
420	6119	17138
421	6133	17120
422	6147	17104
423	6160	17087
424	6175	17073
425	6197	17079
426	6211	17063
427	6225	17047
428	6240	17033
429	6254	17017
430	6268	17001
431	6283	16989
432	6297	16971
433	6310	16954
434	6324	16937
435	6337	16920
436	6350	16901
437	6364	16884
438	6377	16866
439	6390	16848
440	6406	16836
441	6419	16819
442	6433	16801
443	6446	16784
444	6459	16766
445	6477	16759
446	6497	16759
447	6511	16744
448	6526	16729
449	6540	16713
450	6553	16695
451	6567	16679
452	6581	16663
453	6594	16646
454	6608	16629
455	6622	16613
456	6636	16597
457	6649	16579
